tokens ner_tags
Wenn O
ein B-GEN
amtierender I-GEN
oder O
ehemaliger B-GEN
Regierungschef I-GEN
keine Villa O
mit O
fuenfzig O
Zimmern O
auf O
Sardinien O
und O
eine O
Megajacht O
erhascht O
hat O
, O
ist O
er B-GEN
ein O
Loser O
. O

Fuer O
den O
Grossteil O
der O
Patienten I-GEN
ist O
eine O
Operation O
die O
wichtigste O
Behandlungsmoeglichkeit O
. O

Schneidet O
der B-GEN
Chirurg I-GEN
zu O
nah O
am O
Tumor O
, O
kann O
es O
passieren O
, O
dass O
er I-GEN
nicht O
alles O
entfernt O
. O

Die O
B O
- O
Klasse O
von O
Mercedes O
ist O
das O
Automodell O
mit O
den O
aeltesten O
Nutzern B-GEN
in O
Deutschland O
. O

So O
sind O
die O
Fahrer B-GEN
eines O
Leon O
lediglich O
im O
Durchschnitt O
41 O
Jahre O
alt O
, O
die O
des O
Ibiza O
42 O
, O
2 O
Jahre O
. O

Ob O
luxurioese O
Hotelsuiten O
, O
edle O
Spass O
oder O
noble O
Wohnobjekte O
– O
wenn O
es O
um O
die O
Erfuellung O
hoechster O
Ansprueche O
geht O
, O
setzen O
Architekten B-GEN
und O
Innengestalter B-GEN
bewusst O
auf O
unsere O
Armaturen O
, O
Duschen O
und O
Duschsysteme O
. O

Gleichzeitig O
gibt O
' O
s O
so O
viel O
Hate O
darauf O
, O
wenn O
Kuenstler B-GEN
sich O
etwas O
trauen O
. O

Knapp O
drei O
Viertel O
der O
Teilnehmer B-GEN
geben O
an O
, O
Wert O
auf O
eine O
nachhaltige O
Verpackung O
zu O
legen O
. O

Die O
Ergebnisse O
zeigen O
, O
dass O
fuer O
viele O
Verbraucher B-GEN
Nachhaltigkeit O
vor O
allem O
mit O
eindeutig O
zuzuordnenden O
Themen O
wie O
der O
Recycelbarkeit O
verbunden O
wird O
. O

Ein B-GEN
Landwirt I-GEN
produziert O
tierische O
oder O
pflanzliche O
Erzeugnisse O
, O
meist O
